Date,Total_Price_Index,Total_Dividends_Paid,Total_Dividends_Index,CPI,CPI_ADJ,Real_Price_Index,Real_Dividends_Index,Real_Price_Index_Lag,Real_Month_Return,Real_Total_Return,log_Real_Total_Return,log_Real_Month_Return,GOP
1960-01-01,3.41815590374,20.114,0.09405179666332619,29.37,10.362546816479401,35.42080057853121,0.9746161460977188,,,35.42080057853121,3.56729923454226,,1
1960-01-01,3.41815590374,20.114,0.09405179666332619,29.37,10.362546816479401,35.42080057853121,0.9746161460977188,,,35.42080057853121,3.56729923454226,,1
1961-01-01,3.29507991375264,21.063,0.09848926086902851,29.84,10.199329758713137,33.60760662167522,1.0045244492951437,35.42080057853121,0.9771696434198898,33.60760662167522,3.5147524288972214,-0.023095004939967363,1
1961-01-01,3.29507991375264,21.063,0.09848926086902851,29.84,10.199329758713137,33.60760662167522,1.0045244492951437,35.42080057853121,0.9771696434198898,33.60760662167522,3.5147524288972214,-0.023095004939967363,0
1962-01-01,3.67549661007722,22.973,0.10742030052434087,30.04,10.131424766977364,37.23801738627769,1.0883206932084586,33.60760662167522,1.1404066499269123,37.23801738627769,3.6173302121698705,0.13138490926255647,0
1962-01-01,3.67549661007722,22.973,0.10742030052434087,30.04,10.131424766977364,37.23801738627769,1.0883206932084586,33.60760662167522,1.1404066499269123,37.23801738627769,3.6173302121698705,0.13138490926255647,0
1963-01-01,3.50207135145866,24.332,0.11377489889689035,30.44,9.998291721419186,35.014731001108416,1.1375546297460837,37.23801738627769,0.9708434596782995,35.014731001108416,3.5557688586878076,-0.029590039260766473,0
1963-01-01,3.50207135145866,24.332,0.11377489889689035,30.44,9.998291721419186,35.014731001108416,1.1375546297460837,37.23801738627769,0.9708434596782995,35.014731001108416,3.5557688586878076,-0.029590039260766473,0
1964-01-01,4.05031894322056,27.955,0.13071581862002998,30.94,9.83671622495152,39.84183806500618,1.285814413877469,35.014731001108416,1.1745814205335954,39.84183806500618,3.6849175678219908,0.16091184628459948,0
1964-01-01,4.05031894322056,27.955,0.13071581862002998,30.94,9.83671622495152,39.84183806500618,1.285814413877469,35.014731001108416,1.1745814205335954,39.84183806500618,3.6849175678219908,0.16091184628459948,0
1965-01-01,4.58876340135956,30.565,0.14292001416995948,31.28,9.729795396419437,44.64772901780624,1.3905824959270725,39.84183806500618,1.1555267966958986,44.64772901780624,3.7988034441657574,0.14455634102670617,0
1965-01-01,4.58876340135956,30.565,0.14292001416995948,31.28,9.729795396419437,44.64772901780624,1.3905824959270725,39.84183806500618,1.1555267966958986,44.64772901780624,3.7988034441657574,0.14455634102670617,0
1966-01-01,5.00737852520531,30.799,0.14401418342616004,31.88,9.546675031367629,47.803815539183994,1.37485660907732,44.64772901780624,1.1014820513860415,47.803815539183994,3.867105459307205,0.09665659242576803,0
1966-01-01,5.00737852520531,30.799,0.14401418342616004,31.88,9.546675031367629,47.803815539183994,1.37485660907732,44.64772901780624,1.1014820513860415,47.803815539183994,3.867105459307205,0.09665659242576803,0
1967-01-01,4.55786323493533,32.29,0.15098600548169447,32.9,9.250699088145897,42.163421271309964,1.3967261032323024,47.803815539183994,0.9112274173771074,42.163421271309964,3.741553050639651,-0.0929627779942143,0
1967-01-01,4.55786323493533,32.29,0.15098600548169447,32.9,9.250699088145897,42.163421271309964,1.3967261032323024,47.803815539183994,0.9112274173771074,42.163421271309964,3.741553050639651,-0.0929627779942143,0
1968-01-01,5.27194421017091,35.686,0.16686548750757968,34.1,8.925161290322581,47.052952389357664,1.4893013897934564,42.163421271309964,1.1512883043051731,47.052952389357664,3.85127361410217,0.1408815799601989,0
1968-01-01,5.27194421017091,35.686,0.16686548750757968,34.1,8.925161290322581,47.052952389357664,1.4893013897934564,42.163421271309964,1.1512883043051731,47.052952389357664,3.85127361410217,0.1408815799601989,0
1969-01-01,5.72554819772759,37.844,0.17695615953698499,35.7,8.525154061624649,48.81118047288505,1.508578522206227,47.052952389357664,1.0694283023666862,48.81118047288505,3.887959394668783,0.06712420883282379,0
1969-01-01,5.72554819772759,37.844,0.17695615953698499,35.7,8.525154061624649,48.81118047288505,1.508578522206227,47.052952389357664,1.0694283023666862,48.81118047288505,3.887959394668783,0.06712420883282379,1
1970-01-01,5.00309303502833,38.781,0.18133751249877958,37.9,8.03029023746702,40.17628915632724,1.4561928563055033,48.81118047288505,0.8529292184555931,40.17628915632724,3.693276999629653,-0.1590787144696833,1
1970-01-01,5.00309303502833,38.781,0.18133751249877958,37.9,8.03029023746702,40.17628915632724,1.4561928563055033,48.81118047288505,0.8529292184555931,40.17628915632724,3.693276999629653,-0.1590787144696833,1
1971-01-01,5.07918965760266,40.833,0.190932535207,39.9,7.627769423558898,38.74288756671816,1.4563893540145372,40.17628915632724,1.0005721724153271,38.74288756671816,3.6569471922872676,0.0005720087871034417,1
1971-01-01,5.07918965760266,40.833,0.190932535207,39.9,7.627769423558898,38.74288756671816,1.4563893540145372,40.17628915632724,1.0005721724153271,38.74288756671816,3.6569471922872676,0.0005720087871034417,1
1972-01-01,5.66324333639437,44.167,0.206522109139362,41.2,7.387087378640777,41.83487337245033,1.525596865833654,38.74288756671816,1.119185299846688,41.83487337245033,3.7337302829101935,0.11260100976419107,1
1972-01-01,5.66324333639437,44.167,0.206522109139362,41.2,7.387087378640777,41.83487337245033,1.525596865833654,38.74288756671816,1.119185299846688,41.83487337245033,3.7337302829101935,0.11260100976419107,1
1973-01-01,6.3760206102434,53.366,0.249536053531623,42.7,7.127587822014052,45.44564685448146,1.7785901363054426,41.83487337245033,1.1288246666926842,45.44564685448146,3.8165170372571215,0.1211769734551013,1
1973-01-01,6.3760206102434,53.366,0.249536053531623,42.7,7.127587822014052,45.44564685448146,1.7785901363054426,41.83487337245033,1.1288246666926842,45.44564685448146,3.8165170372571215,0.1211769734551013,1
1974-01-01,5.08955923431344,65.223,0.30497863844944434,46.8,6.503162393162394,33.09823021035955,1.9833256122822969,45.44564685448146,0.7719453512230602,33.09823021035955,3.4994798129885862,-0.2588415200341556,1
1974-01-01,5.08955923431344,65.223,0.30497863844944434,46.8,6.503162393162394,33.09823021035955,1.9833256122822969,45.44564685448146,0.7719453512230602,33.09823021035955,3.4994798129885862,-0.2588415200341556,1
1975-01-01,3.81839867418611,57.304,0.2679498934073403,52.3,5.819273422562142,22.220305921437745,1.5592736932836944,33.09823021035955,0.718454716871193,22.220305921437745,3.1010065519581906,-0.3306525999847568,1
1975-01-01,3.81839867418611,57.304,0.2679498934073403,52.3,5.819273422562142,22.220305921437745,1.5592736932836944,33.09823021035955,0.718454716871193,22.220305921437745,3.1010065519581906,-0.3306525999847568,1
1976-01-01,5.08168897039162,70.338,0.3288960561651107,55.8,5.454265232974911,27.716879475999086,1.793886324403927,22.220305921437745,1.3280989876890743,27.716879475999086,3.322041594968979,0.2837485871988504,1
1976-01-01,5.08168897039162,70.338,0.3288960561651107,55.8,5.454265232974911,27.716879475999086,1.793886324403927,22.220305921437745,1.3280989876890743,27.716879475999086,3.322041594968979,0.2837485871988504,1
1977-01-01,5.57383175294306,80.614,0.37694598469808976,58.7,5.184804088586031,28.89922566174982,1.9543910826387432,27.716879475999086,1.1131706500764518,28.89922566174982,3.3638148010483495,0.10721238495771783,1
1977-01-01,5.57383175294306,80.614,0.37694598469808976,58.7,5.184804088586031,28.89922566174982,1.9543910826387432,27.716879475999086,1.1131706500764518,28.89922566174982,3.3638148010483495,0.10721238495771783,0
1978-01-01,4.94092192580181,88.309,0.4129273198539163,62.7,4.854035087719298,23.98340839352359,2.0043636992487994,28.89922566174982,0.8992549626396755,23.98340839352359,3.1773622743416867,-0.10618867777867834,0
1978-01-01,4.94092192580181,88.309,0.4129273198539163,62.7,4.854035087719298,23.98340839352359,2.0043636992487994,28.89922566174982,0.8992549626396755,23.98340839352359,3.1773622743416867,-0.10618867777867834,0
1979-01-01,5.52262670555945,106.286,0.49698663916467567,68.5,4.4430364963503655,24.53723200851982,2.208129776007164,23.98340839352359,1.1151610040443303,24.53723200851982,3.200191637832079,0.10899879273369498,0
1979-01-01,5.52262670555945,106.286,0.49698663916467567,68.5,4.4430364963503655,24.53723200851982,2.208129776007164,23.98340839352359,1.1151610040443303,24.53723200851982,3.200191637832079,0.10899879273369498,0
1980-01-01,6.32655612910295,119.166,0.5572127076256304,78.0,3.901897435897436,24.685573138208007,2.1741868351339146,24.53723200851982,1.0946532177719017,24.685573138208007,3.2062189895173696,0.09043761701094444,0
1980-01-01,6.32655612910295,119.166,0.5572127076256304,78.0,3.901897435897436,24.685573138208007,2.1741868351339146,24.53723200851982,1.0946532177719017,24.685573138208007,3.2062189895173696,0.09043761701094444,0
1981-01-01,7.55043065068934,129.777,0.606829075051033,87.2,3.490229357798165,26.352734721055036,2.1179726529086214,24.685573138208007,1.1533338608167485,26.352734721055036,3.2715720540824016,0.1426567577569809,0
1981-01-01,7.55043065068934,129.777,0.606829075051033,87.2,3.490229357798165,26.352734721055036,2.1179726529086214,24.685573138208007,1.1533338608167485,26.352734721055036,3.2715720540824016,0.1426567577569809,1
1982-01-01,6.72508701941471,140.133,0.6552530785433971,94.4,3.2240254237288135,21.681851527381653,2.1125525842004853,26.352734721055036,0.9029197297148494,21.681851527381653,3.076475575479359,-0.10212162241242866,1
1982-01-01,6.72508701941471,140.133,0.6552530785433971,94.4,3.2240254237288135,21.681851527381653,2.1125525842004853,26.352734721055036,0.9029197297148494,21.681851527381653,3.076475575479359,-0.10212162241242866,1
1983-01-01,8.24441847429315,142.576,0.6666763926156106,97.9,3.10876404494382,25.62995172435313,2.07253959897626,21.681851527381653,1.2776810729629973,25.62995172435313,3.243761656814047,0.24504677313999707,1
1983-01-01,8.24441847429315,142.576,0.6666763926156106,97.9,3.10876404494382,25.62995172435313,2.07253959897626,21.681851527381653,1.2776810729629973,25.62995172435313,3.243761656814047,0.24504677313999707,1
1984-01-01,9.53185067454388,153.645,0.7184343391834918,102.1,2.980881488736533,28.413317229148692,2.141567622544734,25.62995172435313,1.1921553805604992,28.413317229148692,3.3468579517794863,0.17576291296717825,1
